id, ,text,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5
0,24921,"lần thứ 2 nhận quà khuyến_mãi thiếu món . lần đầu cho xe 3 bánh con bọ thiếu cây sắt gắn 2 bánh_xe phía sau . lần này cho bộ lèo xếp bệnh_viện ghi 60 món mà thiếu hét mấy miếng to . quà khuyến_mãi gì mà như đánh_đố . cho mà không có tâm gì hết , quà mà thiếu",0,-1,0,0,0,0
3,24918,"gói bỉm rất cũ bạc_màu và là loại mẫu_mã từ rất lâu rồi . gói bỉm còn bị rách . , không hài_lòng",0,0,-1,-1,0,0
5,24916,"sai cung duoc , thường",0,0,0,0,0,0
6,24915,"giao hàng trước dự_kiến . hàng tốt . chính hãng . cám_ơn tiki , kì hài_lòng",0,0,0,1,1,1
7,24914,"size m nhung hơi nhỏ phút mua lên 1 kích_thước . , lòng",0,0,0,0,0,0
8,24913,"sữa cho con uống rất tốt , tăng cả chiều cao và cân nặng . tiêu_hoá cho bé cũng khá tốt , kì hài_lòng",0,0,0,1,0,0
9,24912,"giao hàng nhanh , đúng loại như hình ( đc tặng 8m cùng loại ) kích_thước s phù_hợp với số cân nặng từ 4 - 8 kg , bé nhà mình hơn 5,5 kg mặc vẫn còn rộng , phần đai dán mềm_mại , dính tốt . không như loại bobby soft màu vàng , kích_thước thì bé , đai dán thì vừa cứng vừa chật làm bé mình bị hằn hết lên , chẳng thấy "" soft "" ở chỗ nào , mặc_dù mình mua 2 loại cùng là kích_thước s. , tốt giá mềm",0,0,0,1,1,0
10,24911,"mua lần thứ 2 r , bé sử_dụng rất êm , cáo bông dễ_thương , kì hài_lòng",0,1,0,1,0,0
12,24909,"sản_phẩm rất tốt , , kì hài_lòng",0,0,0,0,0,0
13,24908,"bé nhà mình mới 8 kí mà mặc vô bị lằn đỏ hết hai bên hông , bỉm khá nhỏ_bé mặc không thoải_mái , hài_lòng",0,0,0,-1,0,0
14,24907,"ok trong tầm giá , kì hài_lòng",0,0,0,0,0,0
17,24904,"rất hài_lòng 🤪 , kì hài_lòng",0,0,0,0,0,0
19,24902,"đóng_gói cẩn_thận , hàng tốt ! , kì hài_lòng",0,0,0,1,1,0
21,24900,"tã mỏng hơn tã mình mua bên ngoài , có mùi thơm nhưng hơi nặng trong khi tã mua bên ngoài không có mùi , cảm_giác sử_dụng tã mua bên ngoài an_toàn và dễ_chịu hơn khi dùng tã trên tiki . , lòng",0,0,0,-1,0,0
22,24899,"bé nhà mình sử_dụng tã bobby từ nhỏ , thun co_giãn tốt , chống hăm . tiki bán hay giảm_giá lại có quà . có thêm gói tiki now giao hàng cực_kỳ nhanh . rất thích ! , phẩm tốt , quà đẹp , giá tốt",1,1,1,1,1,0
25,24896,"sp dùng thích tốt đã mua của tiki ba lần , vẫn muốn tiếp_tục ủng_hộ tiki , kì hài_lòng",0,0,0,1,0,0
26,24895,"tiki đóng_gói rất gọn combo 3 gói ; giá rất hài_lòng , kì hài_lòng",1,0,0,0,1,0
27,24894,"từ ngày dùng huggies mình chẳng còn lăng tăng đi chọn mẫu tã mới . tã huggie dùng đã thích rồi nay có mẫu mới với thiết_kế lưng thun 4 chiều lại cực thích hơn . bé dùng không bì hằn đỏ , mềm_mại ôm sát bụng . giúp bé thỏa_mái vận_động và không sợ đau rát hay tràn ra ngoài . nay đùi cũng rất êm nha , 5 * cho đệm mây ! vận_chuyển nhanh , thanks , hài_lòng",0,0,0,1,1,0
29,24892,"mình mua rất nhiều lần cho bé nhà mình , giá_cả phải_chăng , đóng_gói cẩn_thận , giao hàng khá nhanh , lòng",1,0,0,0,1,0
30,24891,"bỉm thấm hút kém . dễ tràn . mặc các loại bỉm khác không sao . cứ mặc bỉm bobby này là y_như ràng tràn ra dính quần , mặc_dù bỉm chưa đầy nhưng vần tràn . thậm_chí mới mặc mà em ị cũng đã tràn r . dùng mà vừa dùng vừa bực . tiếc tiền kinh_khủng . , không hài_lòng",0,0,0,-1,0,0
31,24890,"sữa ngọt dịu . mùi thơm . bé dễ uống . dễ tiêu_hóa . tiki bán giá rẻ và còn được coupon giảm_giá . quá thích ! cảm_ơn tiki , nên dùng",1,1,0,1,0,0
32,24889,"sản_phẩm tốt , hài_lòng . đã mua lại lần 2 , kì hài_lòng",0,0,0,0,0,0
35,24886,"chất_lượng ok , kì hài_lòng",0,0,0,1,0,0
36,24885,"đóng_gói kĩ hàng có chất_lượng và uy_tín như đã nói , kì hài_lòng",0,0,0,1,1,1
38,24883,"sản_phẩm tốt , thấm hút tốt , gọn_nhẹ và chất_lượng cao , vời",0,0,0,1,0,0
39,24882,"sp dùng êm , kì hài_lòng",0,0,0,1,0,0
41,24880,"hàng kém chất_lượng thất_vọng quá không có lần sau , hài_lòng",0,0,0,-1,0,0
42,24879,"giao hàng gói sản_phẩm cẩn_thận , tã dán nb huggies khá mềm . , dùng cho bé sơ_sinh rất ok , kì hài_lòng",0,0,0,1,1,0
46,24875,"mình đã mua combo 3 bịch bỉm đại . tiki giao hàng rất nhanh nhưng hôm đặt mình có thấy được tặng kèm bộ đồ_chơi tàu_hỏa bằng gỗ mà nhận hàng không thấy có . , kì hài_lòng",0,-1,0,0,1,0
47,24874,"bỉm thấm hút tốt , nhưng dùng bỉm quần bé bị lằn , còn tã dán thì oke hơn , thường",0,0,0,-1,0,0
49,24872,"bé nhà mình từ nhỏ chủ_yếu dùng tuy_nhiên mình không thích mùi của tã , hơi nồng ,",0,0,0,-1,0,0
50,24871,"giao nhanh hơn ngày dự_kiến . , lòng",0,0,0,0,1,0
